"id","State_Code","County_Code","FIPS_Code","states","Location","Percentage_of_persons_below_150%_poverty_estimate_MOE","Percentage_of_persons_below_150%_poverty_estimate"
20,18,18163,18163980500,"Indiana","Census Tract 9805, Vanderburgh County, Indiana",0.0,100.0
80,18,18089,18089030100,"Indiana","Census Tract 301, Lake County, Indiana",8.5,90.9
