"id","State_Code","County_Code","FIPS_Code","states","Location","Percentage_of_persons_below_150%_poverty_estimate_MOE","Percentage_of_persons_below_150%_poverty_estimate"
67,55,55025,55025001603,"Wisconsin","Census Tract 16.03, Dane County, Wisconsin",5.5,92.6
68,55,55025,55025001102,"Wisconsin","Census Tract 11.02, Dane County, Wisconsin",13.7,92.5
