"id","State_Code","County_Code","FIPS_Code","states","Location","Percentage of persons below 150% poverty estimate MOE","Percentage of persons below 150% poverty estimate"
11,9,9003,9003417300,"Connecticut","Census Tract 4173, Hartford County, Connecticut",0.0,100.0
75,9,9001,9001070300,"Connecticut","Census Tract 703, Fairfield County, Connecticut",14.6,91.5
