"id","State_Code","County_Code","FIPS_Code","states","Location","Percentage_of_persons_below_150%_poverty_estimate_MOE","Percentage_of_persons_below_150%_poverty_estimate"
37,37,37063,37063001501,"North Carolina","Census Tract 15.01, Durham County, North Carolina",0.0,100.0
38,37,37135,37135011601,"North Carolina","Census Tract 116.01, Orange County, North Carolina",0.0,100.0
